Location,Address,Resolved Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity
,"Morelia, MICH, México",,Week 52 (Dec),76.2,46.5,56.7,44.5,,0.55,,8.9,,51,72.62
,"Morelia, MICH, México",,Week 1 (Jan),82.7,35.7,57.3,42.7,81.1,1.9,,19.5,,37.3,68.71
,"Morelia, MICH, México",,Week 2 (Jan),83.4,39.3,57.8,40.9,81.1,0.34,,44.7,,31.6,66.09
,"Morelia, MICH, México",,Week 3 (Jan),83.9,33.9,58.9,38.2,81.4,0.78,,16.1,,22.2,59.21
,"Morelia, MICH, México",,Week 4 (Jan),80.9,35.7,59.1,40.3,80,0.47,,18.3,,24.3,60.94
,"Morelia, MICH, México",,Week 5 (Jan),84.8,37.5,59.9,39.8,82.3,6.12,,19.7,,30.8,63.4
,"Morelia, MICH, México",,Week 6 (Feb),85.4,37.5,59.8,42.6,82.4,2.85,,44.7,,27.5,63.38
,"Morelia, MICH, México",,Week 7 (Feb),86.3,39.3,61.3,44.5,82.9,1.26,,19.5,,30.9,59.93
,"Morelia, MICH, México",,Week 8 (Feb),86.3,40.4,63.8,43.6,83.9,0.08,,17.2,,18.8,56.03
,"Morelia, MICH, México",,Week 9 (Feb),89.7,36.2,64.5,46.8,89.8,0,,18.3,,17.6,55.14
,"Morelia, MICH, México",,Week 10 (Mar),87.2,37.7,65.9,34.2,86.5,0.08,,49.2,,18.7,49.8
,"Morelia, MICH, México",,Week 11 (Mar),86.1,35.7,62.3,43.3,85.2,7.73,,40.2,,32.8,58.88
,"Morelia, MICH, México",,Week 12 (Mar),91.7,41.1,66.5,45.4,91.7,0,,24.6,,19,52.22
,"Morelia, MICH, México",,Week 13 (Mar),90.2,44.7,67.3,48.2,87.5,0.38,,24.6,,24,52.28
,"Morelia, MICH, México",,Week 14 (Apr),91.7,46.5,69.6,48.2,88.6,0,,44.7,,21.6,50.17
,"Morelia, MICH, México",,Week 15 (Apr),92.9,42.9,69.7,,92.5,0.94,,18.3,,25.1,47.15
,"Morelia, MICH, México",,Week 16 (Apr),96.2,48.3,70,,92.6,0.53,,20.1,,19.2,48.44
,"Morelia, MICH, México",,Week 17 (Apr),92.4,48.3,70.9,,92.6,0.91,,18.3,,35,46.26
,"Morelia, MICH, México",,Week 18 (Apr),96.5,44.7,70.9,,93.6,0.88,,17.2,,27.1,51.05
,"Morelia, MICH, México",,Week 19 (May),95.3,46.5,70.8,,93.9,3.14,,18.3,,36.1,53.6
