Location,Address,Resolved Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity
,"Nueva Italia de Ruiz, MICH, México",,Week 52 (Dec),78.9,44.7,66.4,,,0,,11.4,,60.4,60.36
,"Nueva Italia de Ruiz, MICH, México",,Week 1 (Jan),78.9,41.1,65.1,,,0,,11.4,,54.3,61.64
,"Nueva Italia de Ruiz, MICH, México",,Week 2 (Jan),78.9,41.1,65.4,,,0,,16.1,,50.2,59.48
,"Nueva Italia de Ruiz, MICH, México",,Week 3 (Jan),78.9,42.9,65.5,,,0,,13.9,,52,60.82
,"Nueva Italia de Ruiz, MICH, México",,Week 4 (Jan),78.9,44.7,65.9,,,0,,13.9,,49.6,64.56
,"Nueva Italia de Ruiz, MICH, México",,Week 5 (Jan),78.9,37.5,64.9,,,0,,11.4,,48.7,64.6
,"Nueva Italia de Ruiz, MICH, México",,Week 6 (Feb),82.5,42.9,66.6,,80.9,0,,11.4,,35.9,57.77
,"Nueva Italia de Ruiz, MICH, México",,Week 7 (Feb),80.7,42.9,67.1,,80.6,0,,13.9,,27.9,59
,"Nueva Italia de Ruiz, MICH, México",,Week 8 (Feb),84.3,44.7,68.2,,82.8,0,,11.4,,31.4,56.39
,"Nueva Italia de Ruiz, MICH, México",,Week 9 (Feb),82.5,42.9,68.7,,83,0,,11.4,,25.9,49.55
,"Nueva Italia de Ruiz, MICH, México",,Week 10 (Mar),80.7,42.9,68.5,,80.1,0,,20.8,,42,50.95
,"Nueva Italia de Ruiz, MICH, México",,Week 11 (Mar),82.5,44.7,69.9,,81.5,0,,13.9,,39.2,52.04
,"Nueva Italia de Ruiz, MICH, México",,Week 12 (Mar),84.3,44.7,70.6,,81.4,0,,13.9,,37.8,44.99
,"Nueva Italia de Ruiz, MICH, México",,Week 13 (Mar),84.3,48.3,71.5,,82.6,0,,13.9,,31.6,45.88
,"Nueva Italia de Ruiz, MICH, México",,Week 14 (Apr),84.3,48.3,71.7,,83.6,0,,13.9,,29.5,48.44
,"Nueva Italia de Ruiz, MICH, México",,Week 15 (Apr),86.1,48.3,71.2,,83.3,0,,12.8,,22.4,49.18
,"Nueva Italia de Ruiz, MICH, México",,Week 16 (Apr),86.1,48.3,72.3,,83.6,0,,110.7,,39.5,48.6
,"Nueva Italia de Ruiz, MICH, México",,Week 17 (Apr),86.1,46.5,73.1,,84.3,0,,11.4,,23.8,44.54
,"Nueva Italia de Ruiz, MICH, México",,Week 18 (Apr),87.9,46.5,73.2,,86.2,0,,13.9,,25.3,47.18
,"Nueva Italia de Ruiz, MICH, México",,Week 19 (May),86.1,53.7,74.1,,87.6,0,,13.9,,44.7,48.63
,"Nueva Italia de Ruiz, MICH, México",,Week 20 (May),87.9,53.7,73.4,,85,0,,11.4,,49.6,51.51
,"Nueva Italia de Ruiz, MICH, México",,Week 21 (May),86.1,51.9,72.2,,84.6,0,,13.9,,47.3,57.69
,"Nueva Italia de Ruiz, MICH, México",,Week 22 (May),87.9,53.7,72.7,,86.2,0,,13.9,,37.5,61.32
,"Nueva Italia de Ruiz, MICH, México",,Week 23 (Jun),89.7,55.5,72.9,,86.9,0,,13.9,,48.9,63.51
,"Nueva Italia de Ruiz, MICH, México",,Week 24 (Jun),86.1,57.3,71.5,,85.1,0,,17.2,,70.9,71.41
,"Nueva Italia de Ruiz, MICH, México",,Week 25 (Jun),80.7,55.5,70.1,,81.5,0,,23,,81.6,75.41
,"Nueva Italia de Ruiz, MICH, México",,Week 26 (Jun),82.5,55.5,68.8,,84.1,0,,13.9,,85.8,80.01
,"Nueva Italia de Ruiz, MICH, México",,Week 27 (Jul),80.7,59.1,69,,82.4,0,,11.4,,88.5,80.66
,"Nueva Italia de Ruiz, MICH, México",,Week 28 (Jul),80.7,57.3,69.3,,82.9,0,,11.4,,82.8,78.42
,"Nueva Italia de Ruiz, MICH, México",,Week 29 (Jul),80.7,53.7,69,,81.5,0,,11.6,,83.9,78.78
,"Nueva Italia de Ruiz, MICH, México",,Week 30 (Jul),78.9,55.5,68.6,,,0,,13.9,,81.6,79.13
,"Nueva Italia de Ruiz, MICH, México",,Week 31 (Jul),82.5,55.5,68.8,,84.1,0,,16.1,,80,78.18
,"Nueva Italia de Ruiz, MICH, México",,Week 32 (Aug),78.9,57.3,68.8,,,0,,17.2,,82.5,79.05
,"Nueva Italia de Ruiz, MICH, México",,Week 33 (Aug),80.7,57.3,69.6,,82.9,0,,13.9,,81.3,78.38
,"Nueva Italia de Ruiz, MICH, México",,Week 34 (Aug),78.9,57.3,68.6,,,0,,11.4,,87.7,81.69
,"Nueva Italia de Ruiz, MICH, México",,Week 35 (Aug),78.9,57.3,68.6,,,0,,11.4,,87.9,81.57
,"Nueva Italia de Ruiz, MICH, México",,Week 36 (Sep),77.1,55.5,68.8,,,0,,13.9,,81.4,80.12
,"Nueva Italia de Ruiz, MICH, México",,Week 37 (Sep),77.1,57.3,68.1,,,0,,18.3,,87.3,84.27
,"Nueva Italia de Ruiz, MICH, México",,Week 38 (Sep),80.7,55.5,68.4,,81.9,0,,11.4,,76.2,80.56
,"Nueva Italia de Ruiz, MICH, México",,Week 39 (Sep),80.7,55.5,69,,81.5,0,,11.4,,80.4,79.36
