Location,Address,Resolved Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity
,"Zamora, MICH, México",,Week 52 (Dec),79.4,48.3,66.5,,,0,,11.4,,14.5,59.19
,"Zamora, MICH, México",,Week 1 (Jan),83,39.3,64.9,,81.3,0.14,,11.4,,37.2,61.44
,"Zamora, MICH, México",,Week 2 (Jan),81.8,42.9,64.8,43.8,80.6,0.63,,21.9,,51.8,62.41
,"Zamora, MICH, México",,Week 3 (Jan),81.8,37.5,63.1,,80.2,1.13,,11.4,,39.7,62.68
,"Zamora, MICH, México",,Week 4 (Jan),83.5,41.1,65.5,,81.4,3.28,,11.4,,34.1,60.57
,"Zamora, MICH, México",,Week 5 (Jan),83.6,37.5,64.7,,81,0.11,,12.8,,56.1,61.15
,"Zamora, MICH, México",,Week 6 (Feb),84.8,42.9,67.2,,82.8,0,,13.4,,40.4,55.42
,"Zamora, MICH, México",,Week 7 (Feb),86.1,44.7,68,,83.7,0.17,,13.4,,31.2,56.94
,"Zamora, MICH, México",,Week 8 (Feb),86.1,41.1,66.9,,83.2,0.29,,13.9,,40.4,54.28
,"Zamora, MICH, México",,Week 9 (Feb),84.3,39.3,66.9,,81.8,0.38,,17.9,,43.9,52.27
,"Zamora, MICH, México",,Week 10 (Mar),91.5,42.9,69.4,,90.8,0,,17.2,,38.2,49.39
,"Zamora, MICH, México",,Week 11 (Mar),86.1,44.7,69.6,,83.8,0.01,,13.9,,35.7,50.37
,"Zamora, MICH, México",,Week 12 (Mar),89.3,42.9,71,,86.4,0,,13.9,,29.6,44
,"Zamora, MICH, México",,Week 13 (Mar),92,44,71.4,,88.3,0,,11.4,,33.2,45.62
,"Zamora, MICH, México",,Week 14 (Apr),92.4,44.7,72.1,,88.4,0.04,,16.1,,40.5,46.73
,"Zamora, MICH, México",,Week 15 (Apr),92,46.5,72.5,,89.1,0,,16.1,,33.3,46.1
,"Zamora, MICH, México",,Week 16 (Apr),93.8,48.3,74,,90.7,0.03,,13.9,,29.7,46.38
,"Zamora, MICH, México",,Week 17 (Apr),95.1,50.1,73.6,,90.4,0.59,,11.4,,29.5,47.95
,"Zamora, MICH, México",,Week 18 (Apr),95.1,48.3,74.4,,91.3,0,,13.9,,30.5,43.17
,"Zamora, MICH, México",,Week 19 (May),95.1,48.3,74.2,,91.7,0.61,,18.3,,43.2,51.49
,"Zamora, MICH, México",,Week 20 (May),94.2,46.5,74.1,,91.3,0.89,,17.2,,38,52.06
,"Zamora, MICH, México",,Week 21 (May),93.3,53.7,73.3,,95.7,4.48,,13.9,,57.7,59.82
,"Zamora, MICH, México",,Week 22 (May),94.3,58.4,73.1,,91.6,2.48,,13.9,,64.4,64.22
,"Zamora, MICH, México",,Week 23 (Jun),95.1,55.5,71.6,,91.6,3.57,,11.4,,71.4,71.17
,"Zamora, MICH, México",,Week 24 (Jun),95.3,57.3,70.1,,91.1,2.45,,11.4,,81.4,76.34
,"Zamora, MICH, México",,Week 25 (Jun),90.2,53.7,70.1,,86.8,4.19,,25.3,,78.6,74.61
,"Zamora, MICH, México",,Week 26 (Jun),89.7,55.5,70,,86.8,3.69,,30,,80.3,75.63
,"Zamora, MICH, México",,Week 27 (Jul),86,55.5,69.4,,84.5,6.7,,17.2,,77.7,76.74
,"Zamora, MICH, México",,Week 28 (Jul),87.8,55.5,69.2,,86.6,4.33,,13.9,,78.4,77.35
,"Zamora, MICH, México",,Week 29 (Jul),86.6,55.5,69.1,,84.2,6.14,,22.4,,79.2,76.11
,"Zamora, MICH, México",,Week 30 (Jul),85.3,54.2,68.9,,85.5,6.78,,16.1,,79.3,76.95
,"Zamora, MICH, México",,Week 31 (Jul),86.1,55.5,68.6,,85,3.08,,13.9,,79.8,77.37
,"Zamora, MICH, México",,Week 32 (Aug),84.8,55.5,69.2,,83.4,4.49,,13.9,,77.8,77.06
,"Zamora, MICH, México",,Week 33 (Aug),84.8,55.5,69.4,,84.2,3.49,,13.9,,75.5,76.88
,"Zamora, MICH, México",,Week 34 (Aug),86.1,55.5,69.3,,84.7,3.01,,17.2,,80,77.68
,"Zamora, MICH, México",,Week 35 (Aug),85.2,54.2,69.3,,84.3,6.35,,13.9,,81.6,78.25
,"Zamora, MICH, México",,Week 36 (Sep),84.8,53.7,68.8,,83.9,3.65,,13.9,,78.3,78.21
,"Zamora, MICH, México",,Week 37 (Sep),86.6,55.5,69.1,,86.2,4.83,,13.9,,79.5,79.65
,"Zamora, MICH, México",,Week 38 (Sep),86.1,53.7,69,,84.5,2.56,,13.9,,75.6,79.16
,"Zamora, MICH, México",,Week 39 (Sep),86.2,53.7,68.8,,93.7,2.17,,11.4,,74.6,78.75
,"Zamora, MICH, México",,Week 40 (Oct),85.4,53.7,69,,92.3,2.1,,11.4,,73.2,76.31
,"Zamora, MICH, México",,Week 41 (Oct),85.1,55.5,68.4,,84.3,1.8,,16.1,,74.3,79.12
,"Zamora, MICH, México",,Week 42 (Oct),85.2,51.9,69,,83.6,0.94,,23,,56.2,74.6
,"Zamora, MICH, México",,Week 43 (Oct),87.9,50.1,68.9,,86.2,2.05,,11.4,,52.6,73.86
,"Zamora, MICH, México",,Week 44 (Oct),84.8,47.6,68.8,,83.7,9.76,,11.4,,36.9,68.03
,"Zamora, MICH, México",,Week 45 (Nov),99.2,47,69.3,,94.6,1.37,,11.4,,41.9,67.3
,"Zamora, MICH, México",,Week 46 (Nov),84.8,46.5,68.5,,83.1,0.04,,16.1,,43.4,65.8
,"Zamora, MICH, México",,Week 47 (Nov),84.8,34.1,66.6,,82.7,0,,16.1,,38.1,62
,"Zamora, MICH, México",,Week 48 (Nov),84.3,36.8,67.2,,82.2,0,,11.4,,36.3,59.91
,"Zamora, MICH, México",,Week 49 (Dec),82.7,46.5,66.7,,81.6,0,,11.4,,48.5,63.77
,"Zamora, MICH, México",,Week 50 (Dec),83.6,41.6,65.1,,83.5,0.01,,16.1,,55.2,61.36
,"Zamora, MICH, México",,Week 51 (Dec),83.6,37.5,64.5,46,81.9,0.04,,16.1,,43.3,59.13
,"Zamora, MICH, México",,Week 52 (Dec),79.1,41.1,64.3,,,0.03,,13.9,,54.3,60.22
